Lynx,CAM,Day,Date,Time1,Time2,Duration,Species,Seed_encounter
1,4,1,31/10/2020,18:04:41,18:04:42,00:00:01,no_id,0
1,4,3,02/11/2020,21:23:50,21:23:51,00:00:01,no_id,1
1,4,4,04/11/2020,05:48:25,05:50:19,00:01:54,no_id,0
1,4,4,04/11/2020,05:57:00,05:57:01,00:00:01,no_id,0
1,4,4,04/11/2020,06:03:47,06:03:48,00:00:01,no_id,0
1,4,4,04/11/2020,06:13:50,06:13:51,00:00:01,no_id,0
1,4,4,04/11/2020,06:51:43,06:51:44,00:00:01,no_id,0
1,4,5,04/11/2020,18:39:54,18:42:35,00:02:41,no_id,1
1,4,5,04/11/2020,19:15:51,19:16:51,00:01:00,no_id,0
1,4,5,04/11/2020,19:25:25,19:25:37,00:00:12,no_id,1
1,4,5,04/11/2020,19:56:39,19:58:10,00:01:31,no_id,1
1,4,5,04/11/2020,20:05:17,20:05:35,00:00:18,no_id,0
1,4,5,04/11/2020,20:16:11,20:17:33,00:01:22,no_id,0
1,4,5,04/11/2020,20:33:40,20:33:41,00:00:01,no_id,0
1,4,5,04/11/2020,21:27:01,21:28:59,00:01:58,no_id,0
1,5,2,02/11/2020,06:31:11,06:37:30,00:06:19,Apodemus_sylvaticus,0
1,5,3,02/11/2020,17:08:01,17:24:55,00:16:54,Apodemus_sylvaticus,1
1,5,3,02/11/2020,21:48:47,21:50:09,00:01:22,Apodemus_sylvaticus,1
1,5,4,03/11/2020,17:20:20,17:21:21,00:01:01,Apodemus_sylvaticus,0
1,5,4,03/11/2020,18:30:54,18:30:55,00:00:01,Apodemus_sylvaticus,0
1,5,4,03/11/2020,21:53:42,21:53:43,00:00:01,Apodemus_sylvaticus,0
1,5,4,04/11/2020,02:25:24,02:25:25,00:00:01,Apodemus_sylvaticus,0
1,5,4,04/11/2020,06:03:12,06:03:13,00:00:01,Apodemus_sylvaticus,0
1,5,5,04/11/2020,20:18:24,20:18:25,00:00:01,Apodemus_sylvaticus,0
1,5,5,04/11/2020,20:34:56,20:34:57,00:00:01,Apodemus_sylvaticus,0
1,5,5,05/11/2020,04:13:45,04:13:46,00:00:01,Apodemus_sylvaticus,0
1,5,5,05/11/2020,05:22:45,05:22:46,00:00:01,Apodemus_sylvaticus,0
1,5,5,05/11/2020,06:35:35,06:36:05,00:00:30,Apodemus_sylvaticus,0
1,6,3,02/11/2020,21:12:27,21:12:47,00:00:20,Apodemus_sylvaticus,0
1,6,4,03/11/2020,19:46:20,19:46:27,00:00:07,Apodemus_sylvaticus,0
1,6,4,04/11/2020,05:42:05,05:42:10,00:00:05,Apodemus_sylvaticus,0
1,6,4,04/11/2020,06:06:48,06:06:52,00:00:04,Apodemus_sylvaticus,0
1,6,4,04/11/2020,06:43:32,06:43:52,00:00:20,Apodemus_sylvaticus,1
1,6,4,04/11/2020,06:48:10,06:51:26,00:03:16,Apodemus_sylvaticus,1
1,6,5,04/11/2020,18:35:50,18:35:53,00:00:03,Apodemus_sylvaticus,0
1,6,5,04/11/2020,18:47:20,18:47:23,00:00:03,Apodemus_sylvaticus,0
1,6,5,04/11/2020,18:55:08,18:55:13,00:00:05,Apodemus_sylvaticus,0
1,6,5,04/11/2020,19:17:42,19:17:48,00:00:06,Apodemus_sylvaticus,0
1,6,5,04/11/2020,21:14:43,21:14:46,00:00:03,Apodemus_sylvaticus,0
1,7,1,31/10/2020,04:08:00,04:09:00,00:01:00,Apodemus_sylvaticus,0
1,7,1,31/10/2020,04:57:00,04:58:00,00:01:00,Apodemus_sylvaticus,0
1,7,1,31/10/2020,20:01:00,20:02:00,00:01:00,Apodemus_sylvaticus,0
1,7,1,31/10/2020,21:11:00,21:12:00,00:01:00,Apodemus_sylvaticus,0
1,7,2,01/11/2020,18:31:00,18:32:00,00:01:00,Mus_spretus,0
1,7,2,01/11/2020,18:47:00,18:48:00,00:01:00,Apodemus_sylvaticus,0
1,7,2,01/11/2020,20:56:00,20:57:00,00:01:00,Apodemus_sylvaticus,1
1,7,3,02/11/2020,18:04:00,18:07:00,00:03:00,Apodemus_sylvaticus,1
1,7,3,02/11/2020,18:13:00,18:14:00,00:01:00,Apodemus_sylvaticus,0
1,7,3,02/11/2020,19:12:00,19:13:00,00:01:00,Apodemus_sylvaticus,0
1,7,3,03/11/2020,03:26:00,03:27:00,00:01:00,Apodemus_sylvaticus,0
1,7,4,03/11/2020,18:16:00,18:17:00,00:01:00,Apodemus_sylvaticus,0
1,7,4,03/11/2020,19:13:00,19:14:00,00:01:00,Apodemus_sylvaticus,0
1,7,4,03/11/2020,21:39:00,21:40:00,00:01:00,Apodemus_sylvaticus,0
1,7,4,04/11/2020,02:25:00,02:26:00,00:01:00,Apodemus_sylvaticus,0
1,7,4,04/11/2020,04:27:00,04:28:00,00:01:00,Apodemus_sylvaticus,0
1,7,4,04/11/2020,04:35:00,04:36:00,00:01:00,Apodemus_sylvaticus,0
1,7,4,04/11/2020,04:49:00,04:53:00,00:04:00,Apodemus_sylvaticus,1
1,7,4,04/11/2020,05:22:00,05:23:00,00:01:00,Apodemus_sylvaticus,0
1,7,4,04/11/2020,05:29:00,05:31:00,00:02:00,Apodemus_sylvaticus,0
1,7,4,04/11/2020,05:49:00,05:50:00,00:01:00,Apodemus_sylvaticus,0
1,7,5,04/11/2020,18:02:00,18:02:01,00:00:01,Apodemus_sylvaticus,0
1,7,5,04/11/2020,18:11:00,18:13:00,00:02:00,Apodemus_sylvaticus,0
1,7,5,04/11/2020,18:20:00,18:24:00,00:04:00,Apodemus_sylvaticus,0
1,7,5,04/11/2020,19:02:00,19:08:00,00:06:00,Apodemus_sylvaticus,0
1,7,5,04/11/2020,19:55:00,19:56:00,00:01:00,Apodemus_sylvaticus,0
1,7,5,04/11/2020,20:15:00,20:16:00,00:01:00,Apodemus_sylvaticus,0
1,8,2,01/11/2020,20:01:32,20:01:33,00:00:01,Apodemus_sylvaticus,0
1,8,4,03/11/2020,18:26:13,18:26:14,00:00:01,Apodemus_sylvaticus,0
1,8,4,03/11/2020,21:54:00,21:54:01,00:00:01,Apodemus_sylvaticus,1
1,8,4,04/11/2020,04:33:20,04:33:21,00:00:01,Apodemus_sylvaticus,0
1,8,4,04/11/2020,05:28:36,05:41:25,00:12:49,Apodemus_sylvaticus,1
1,8,4,04/11/2020,05:47:49,05:47:50,00:00:01,Apodemus_sylvaticus,0
1,8,5,04/11/2020,17:57:27,18:05:20,00:07:53,Apodemus_sylvaticus,0
1,8,5,04/11/2020,18:10:14,18:10:15,00:00:01,Apodemus_sylvaticus,1
1,8,5,04/11/2020,18:21:16,18:23:00,00:01:44,Apodemus_sylvaticus,
1,8,5,04/11/2020,19:07:01,19:07:36,00:00:35,no_id,0
1,8,5,04/11/2020,20:13:29,20:13:30,00:00:01,no_id,0
1,8,5,05/11/2020,01:38:57,01:38:58,00:00:01,Apodemus_sylvaticus,0
1,8,5,05/11/2020,05:15:43,05:15:44,00:00:01,Apodemus_sylvaticus,0
1,9,2,01/11/2020,17:43:09,17:43:10,00:00:01,Apodemus_sylvaticus,1
1,9,2,01/11/2020,18:02:39,18:02:40,00:00:01,Apodemus_sylvaticus,0
1,9,5,04/11/2020,18:56:05,18:56:06,00:00:01,Apodemus_sylvaticus,0
1,9,5,04/11/2020,19:52:55,19:52:56,00:00:01,Apodemus_sylvaticus,0
1,10,4,03/11/2020,19:24:51,19:28:25,00:03:34,Apodemus_sylvaticus,0
1,10,4,03/11/2020,20:41:03,20:41:04,00:00:01,Apodemus_sylvaticus,0
