Lynx;Habitat;Plot;Microhabitat;Code;CAM;Seeds_left0;Seeds_left1;Seeds_predated1;Seeds_left2;Seeds_oredated2;Seeds_left3;Seeds_predated3;Seeds_left4;Seeds_predated4;Seeds_left5;Seeds_predated5;Seeds_predated_total
1;Open;1OL;Rock;1;1;8;8;0;8;0;8;0;8;0;8;0;0
1;Open;1OL;Shrub;2;2;8;8;0;8;0;8;0;8;0;8;0;0
1;Open;1OL;Open;5;3;8;8;0;8;0;8;0;8;0;8;0;0
1;Forest;1CL;Rock;1;4;8;8;0;8;0;7;1;7;0;0;7;8
1;Forest;1CL;Shrub;2;5;8;8;0;8;0;0;8;0;0;0;0;8
1;Forest;1CL;Open;5;6;8;7;1;7;0;7;0;0;7;0;0;8
1;Open;3OL;Rock;4;7;8;8;0;7;1;0;7;0;0;0;0;8
1;Open;3OL;Open;6;8;8;8;0;8;0;8;0;1;7;0;1;8
1;Open;3OL;Shrub;2;9;8;7;1;0;7;0;0;0;0;0;0;8
1;Open;5OL;Rock;3;10;8;8;0;8;0;0;8;0;0;0;0;8
1;Open;5OL;Shrub;1;11;8;8;0;8;0;8;0;8;0;8;0;0
1;Open;5OL;Open;5;12;8;8;0;8;0;8;0;8;0;8;0;0
1;Forest;4CL;Rock;3;13;8;8;0;8;0;8;0;8;0;7;1;1
1;Forest;4CL;Shrub;1;14;8;8;0;7;1;7;0;7;0;5;2;3
1;Forest;4CL;Open;5;15;8;8;0;8;0;8;0;8;0;7;1;1
1;Forest;6CL;Open;5;16;8;8;0;8;0;8;0;8;0;8;0;0
1;Forest;6CL;Rock;3;17;8;8;0;7;1;7;0;7;0;7;0;1
1;Forest;6CL;Shrub;1;18;8;7;1;7;0;7;NA;7;0;7;0;1
0;Open;1OSL;Shrub;1;19;8;8;0;8;0;8;0;8;0;8;0;0
0;Open;1OSL;Rock;4;20;8;8;0;8;0;8;0;8;0;8;0;0
0;Open;1OSL;Open;5;21;8;8;0;8;0;8;0;8;0;8;0;0
0;Forest;2CSL;Rock;3;22;8;8;0;8;0;8;0;8;0;3;5;5
0;Forest;2CSL;Shrub;1;23;8;8;0;8;0;8;0;8;0;8;0;0
0;Forest;2CSL;Open;5;24;8;8;0;7;1;0;7;0;0;0;0;8
0;Forest;4CSL;Shrub;1;25;8;6;2;6;0;6;0;6;0;6;0;2
0;Forest;4CSL;Rock;3;26;8;8;0;8;0;8;0;8;0;8;0;0
0;Forest;4CSL;Open;5;27;8;8;0;8;0;8;0;8;0;8;0;0
0;Open;3OSL;Rock;3;28;8;8;0;8;0;8;0;8;0;8;0;0
0;Open;3OSL;Shrub;1;29;8;8;0;0;8;0;0;0;0;0;0;8
0;Open;3OSL;Open;5;30;8;8;0;8;0;7;1;7;0;2;5;6
0;Open;5OSL;Shrub;1;31;8;7;1;6;1;6;0;6;0;5;1;3
0;Open;5OSL;Rock;3;32;8;8;0;8;0;8;0;8;0;8;0;0
0;Open;5OSL;Open;5;33;8;8;0;8;0;8;0;8;0;8;0;0
0;Forest;6CSL;Rock;3;34;8;8;0;8;0;8;0;8;0;8;0;0
0;Forest;6CSL;Shrub;1;35;8;8;0;8;0;8;0;7;1;7;0;1
0;Forest;6CSL;Open;5;36;8;8;0;8;0;8;0;8;0;8;0;0
0;Forest;1CSL;Shrub;1;;8;8;0;8;0;8;0;8;0;8;0;0
0;Forest;1CSL;Shrub;2;;8;8;0;8;0;8;0;4;4;4;0;4
0;Forest;1CSL;Rock;3;;8;8;0;8;0;8;0;8;0;8;0;0
0;Forest;1CSL;Rock;4;;8;8;NA;8;0;8;0;8;0;8;0;0
0;Forest;1CSL;Open;5;;8;8;NA;8;0;8;0;8;0;8;0;0
0;Forest;1CSL;Open;6;;8;8;0;8;0;8;0;8;0;8;0;0
0;Open;1OSL;Shrub;2;;8;8;0;8;0;8;0;8;0;8;0;0
0;Open;1OSL;Rock;3;;8;8;0;8;0;8;0;8;0;8;0;0
0;Open;1OSL;Open;6;;8;8;0;8;0;8;0;8;0;8;0;0
0;Forest;2CSL;Shrub;2;;8;8;0;8;0;8;0;8;0;8;0;0
0;Forest;2CSL;Rock;4;;8;8;0;8;0;8;0;8;0;8;0;0
0;Forest;2CSL;Open;6;;8;8;0;8;0;8;0;8;0;8;0;0
