Trap_day;Lynx;Habitat;Plot;Trap;Species;Working
1;0;Forest;1CSL;1;NA;no
1;0;Forest;1CSL;2;NA;no
1;0;Forest;1CSL;3;NA;no
1;0;Forest;1CSL;4;NA;no
1;0;Forest;2CSL;1;Mus_spretus;yes
1;0;Forest;2CSL;2;NA;yes
1;0;Forest;2CSL;3;NA;yes
1;0;Forest;2CSL;4;NA;yes
1;0;Forest;3CSL;1;NA;yes
1;0;Forest;3CSL;2;NA;yes
1;0;Forest;3CSL;3;NA;yes
1;0;Forest;3CSL;4;NA;yes
1;0;Forest;4CSL;1;NA;yes
1;0;Forest;4CSL;2;NA;yes
1;0;Forest;4CSL;3;NA;yes
1;0;Forest;4CSL;4;NA;yes
1;0;Forest;5CSL;1;Mus_spretus;yes
1;0;Forest;5CSL;2;NA;yes
1;0;Forest;5CSL;3;NA;yes
1;0;Forest;5CSL;4;NA;yes
1;0;Forest;6CSL;1;NA;yes
1;0;Forest;6CSL;2;NA;yes
1;0;Forest;6CSL;3;NA;yes
1;0;Forest;6CSL;4;NA;yes
1;0;Open;1OSL;1;NA;yes
1;0;Open;1OSL;2;NA;yes
1;0;Open;1OSL;3;NA;yes
1;0;Open;1OSL;4;NA;yes
1;0;Open;2OSL;1;NA;yes
1;0;Open;2OSL;2;NA;yes
1;0;Open;2OSL;3;NA;yes
1;0;Open;2OSL;4;Apodemus_sylvaticus;yes
1;0;Open;3OSL;1;NA;yes
1;0;Open;3OSL;2;NA;yes
1;0;Open;3OSL;3;Apodemus_sylvaticus;yes
1;0;Open;3OSL;4;NA;yes
1;0;Open;4OSL;1;NA;yes
1;0;Open;4OSL;2;NA;yes
1;0;Open;4OSL;3;NA;yes
1;0;Open;4OSL;4;NA;yes
1;0;Open;5OSL;1;NA;yes
1;0;Open;5OSL;2;Apodemus_sylvaticus;yes
1;0;Open;5OSL;3;NA;yes
1;0;Open;5OSL;4;NA;yes
1;0;Open;6OSL;1;NA;yes
1;0;Open;6OSL;2;NA;yes
1;0;Open;6OSL;3;NA;yes
1;0;Open;6OSL;4;NA;yes
1;1;Forest;1CL;1;NA;yes
1;1;Forest;1CL;2;NA;yes
1;1;Forest;1CL;3;NA;yes
1;1;Forest;1CL;4;NA;yes
1;1;Forest;2CL;1;NA;yes
1;1;Forest;2CL;2;NA;no
1;1;Forest;2CL;3;NA;no
1;1;Forest;2CL;3;NA;yes
1;1;Forest;3CL;1;NA;yes
1;1;Forest;3CL;2;NA;yes
1;1;Forest;3CL;3;NA;yes
1;1;Forest;3CL;4;NA;yes
1;1;Forest;4CL;1;Apodemus_sylvaticus;yes
1;1;Forest;4CL;2;NA;yes
1;1;Forest;4CL;3;NA;yes
1;1;Forest;4CL;4;NA;yes
1;1;Forest;5CL;1;NA;yes
1;1;Forest;5CL;2;NA;yes
1;1;Forest;5CL;3;NA;yes
1;1;Forest;5CL;4;Apodemus_sylvaticus;yes
1;1;Forest;6CL;1;NA;yes
1;1;Forest;6CL;2;NA;yes
1;1;Forest;6CL;3;NA;yes
1;1;Forest;6CL;4;NA;yes
1;1;Open;1OL;1;NA;yes
1;1;Open;1OL;2;NA;yes
1;1;Open;1OL;3;NA;yes
1;1;Open;1OL;4;NA;no
1;1;Open;2OL;1;NA;yes
1;1;Open;2OL;2;NA;yes
1;1;Open;2OL;3;NA;yes
1;1;Open;2OL;4;NA;yes
1;1;Open;3OL;1;NA;yes
1;1;Open;3OL;2;NA;yes
1;1;Open;3OL;3;Apodemus_sylvaticus;yes
1;1;Open;3OL;4;Apodemus_sylvaticus;yes
1;1;Open;4OL;1;NA;yes
1;1;Open;4OL;2;Apodemus_sylvaticus;yes
1;1;Open;4OL;3;NA;yes
1;1;Open;4OL;4;NA;yes
1;1;Open;5OL;1;NA;yes
1;1;Open;5OL;2;NA;yes
1;1;Open;5OL;3;NA;yes
1;1;Open;5OL;4;NA;yes
1;1;Open;6OL;1;NA;yes
1;1;Open;6OL;2;NA;yes
1;1;Open;6OL;3;NA;yes
1;1;Open;6OL;4;NA;yes
2;0;Forest;1CSL;1;NA;no
